Username,Date,Star rating,Comment,Link
Kinjal Hingu,30-Jan-18 10:27:19 AM,none,Thank u for this video..helped a lot,https://www.youtube.com/iublAXAm8HQ
Shamsuddin Wantmurikar,13-Jan-18 3:34:13 PM,none,This is very helpful tutorial. I have used this as reference for me practice. In my database I have two tables like project and costcenter. Costcenter having project as foreign key. Now how I can create screens for this.,https://www.youtube.com/iublAXAm8HQ
yona sayfu,13-Jan-18 7:08:39 AM,none,WHY <br />System.Net.Http.UnsupportedMediaTypeException: &#39;No MediaTypeFormatter is available to read an object of type &#39;IEnumerable`1&#39; from content with media type &#39;text/html&#39;.&#39;<br /><br />in the CONTROLLER<br /> IEnumerable&lt;mvcEmployeeModel&gt; empList;<br />            HttpResponseMessage response = GlobalVariables.WebApiClient.GetAsync(&quot;Employee&quot;).Result;<br />            empList = response.Content.ReadAsAsync&lt;IEnumerable&lt;mvcEmployeeModel&gt;&gt;().Result;<br />            return View(empList);,https://www.youtube.com/iublAXAm8HQ
anil sah,11-Jan-18 5:15:55 PM,none,Very helpful videoi liked very much.Please upload more videos on <a href="http://asp.net/">asp.net</a> mvc.<br /><a href="http://q1.how/">Q1.How</a> to use dapper in web Api with repository model ? Plz help me out.,https://www.youtube.com/iublAXAm8HQ
awais ahmed,09-Jan-18 4:01:34 AM,none,@<a href="https://www.youtube.com/watch?v=iublAXAm8HQ&amp;t=17m55s">17:55</a><br />i got the following error.<br />not a primitive type like integer not a collection type like an array or List&lt;T&gt;) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.<br /><br />what to do?,https://www.youtube.com/iublAXAm8HQ
Tanya Sheppard,03-Jan-18 5:51:43 PM,none,Thank you very much.,https://www.youtube.com/iublAXAm8HQ
Trần đồng,26-Nov-17 6:46:33 PM,none,Greate. Good man,https://www.youtube.com/iublAXAm8HQ
Rohan Thakur,07-Nov-17 6:24:43 AM,none,How to bind dropdown for example. department and saved that department id to Database...,https://www.youtube.com/iublAXAm8HQ
Adil k.,31-Oct-17 7:39:35 AM,none,You did explain any thing you are just talking and going to fast; create class add this edit that delete this ...!!! bla bla. You did not explain what do you want to achieve  and why do use specific classes and functions. Sorry your lecture is just waste of time,https://www.youtube.com/iublAXAm8HQ
Jerson Carranza,26-Oct-17 9:41:26 PM,none,Muy buen tutorial solo que no te entiendo por no se ingles :D,https://www.youtube.com/iublAXAm8HQ
pdm LVW,24-Oct-17 4:38:04 PM,none,Good tutorial. 1 problem when i load the mvc that aretify alert always <a href="http://load.how/">load.How</a> to get rid from that?Same thing on delete confirm. Alertify confirm  loads when page get load.Thank You,https://www.youtube.com/iublAXAm8HQ
Shams Khan,27-Aug-17 7:00:49 PM,none,You didnt explain that why you choose web api crud operation in mvc what is the reason??? Please explain this topic briefly and  also explain when we use web api with mvc. Waiting for your reply and response thanks.,https://www.youtube.com/iublAXAm8HQ
MVC C,23-Aug-17 9:59:16 PM,none,DUDE LITREALLY YOU REMOVE ANY NORMAL OR MEAN COMMENT STOP BEING ASHEMD,https://www.youtube.com/iublAXAm8HQ
Tahir Ali,19-Aug-17 7:26:03 PM,none,Sir you are best &lt;3,https://www.youtube.com/iublAXAm8HQ
Pulivarthi sathya sai,19-Aug-17 2:16:55 AM,none,I tried to download this video many times....but its downloading in low quality i am not able to understand with that quality...help me to download 720px quality instead of 360px,https://www.youtube.com/iublAXAm8HQ
Pulivarthi sathya sai,19-Aug-17 2:06:51 AM,none,Great job....i liked to learn mvc from ur tutorials videos...i am a beginner and i am expecting more realtime examples like this.....,https://www.youtube.com/iublAXAm8HQ
